Date,Close_A,Open_A,High_A,Low_A,Volumes_A,Change_A,Price_S,Change_S,Price_T,Change_T
01/02/2000,0.89,0.94,1,0.85,3050000000,-0.0430,1441.47,-0.0189,756.70,-0.0629
01/09/2000,0.9,0.91,0.91,0.77,3350000000,-0.0055,1465.15,0.0164,787.40,0.0406
01/16/2000,0.99,0.9,1.08,0.9,3380000000,-0.0201,1441.36,-0.0162,795.60,0.0104
01/23/2000,0.91,0.97,1.02,0.9,2070000000,0.0095,1360.16,-0.0563,726.40,-0.0870
01/30/2000,0.96,0.9,0.98,0.84,2380000000,0.0234,1424.37,0.0472,811.10,0.1167
02/06/2000,0.97,0.96,1.05,0.95,1660000000,0.0067,1387.12,-0.0262,815.20,0.0049
02/13/2000,0.99,0.98,1.07,0.97,1750000000,0.0015,1346.09,-0.0296,804.50,-0.0130
02/20/2000,0.99,0.98,1.06,0.95,1520000000,0.0177,1333.36,-0.0095,836.40,0.0396
02/27/2000,1.14,0.98,1.18,0.97,2410000000,0.0552,1409.17,0.0569,889.00,0.0629
03/05/2000,1.12,1.12,1.15,1.06,1280000000,0.0501,1395.07,-0.0100,908.30,0.0217
03/12/2000,1.12,1.09,1.13,1.02,1860000000,-0.0270,1464.47,0.0497,911.60,0.0036
03/19/2000,1.24,1.1,1.34,1.09,2310000000,-0.0334,1527.46,0.0430,980.50,0.0756
03/26/2000,1.21,1.23,1.29,1.12,1540000000,0.0077,1498.58,-0.0189,916.70,-0.0651
04/02/2000,1.18,1.21,1.25,1.04,1950000000,0.0367,1516.35,0.0119,925.00,0.0090
04/09/2000,1,1.18,1.19,0.94,2890000000,-0.0205,1356.56,-0.1054,726.20,-0.2149
04/16/2000,1.06,0.98,1.16,0.97,2040000000,-0.0013,1434.54,0.0575,800.20,0.1020
04/23/2000,1.11,1.03,1.15,1.02,1780000000,-0.0178,1452.43,0.0125,833.70,0.0418
04/30/2000,1.01,1.11,1.13,0.99,1640000000,-0.0595,1432.63,-0.0136,810.50,-0.0278
05/07/2000,0.96,1,1.02,0.88,1850000000,0.0607,1420.96,-0.0081,759.30,-0.0631
05/14/2000,0.84,0.96,0.97,0.83,2630000000,0.0236,1406.95,-0.0099,734.20,-0.0331
05/21/2000,0.77,0.84,0.84,0.74,2540000000,-0.0186,1378.02,-0.0206,710.70,-0.0321
05/28/2000,0.83,0.78,0.89,0.72,2840000000,-0.0231,1477.26,0.0720,822.20,0.1570
06/04/2000,0.85,0.83,0.88,0.8,1680000000,-0.0707,1456.95,-0.0137,826.10,0.0047
06/11/2000,0.81,0.86,0.86,0.79,1470000000,0.0203,1464.46,0.0052,833.80,0.0094
06/18/2000,0.92,0.81,1.03,0.8,2060000000,0.0066,1441.48,-0.0157,825.20,-0.0103
06/25/2000,0.94,0.94,0.99,0.91,1200000000,0.0001,1454.60,0.0091,831.80,0.0080
07/02/2000,0.97,0.93,0.99,0.89,909140000,-0.0170,1478.90,0.0167,835.30,0.0042
07/09/2000,1.03,0.97,1.08,0.96,1620000000,0.0391,1509.98,0.0210,879.10,0.0523
07/16/2000,0.96,1.04,1.05,0.92,1700000000,0.0095,1480.19,-0.0197,841.80,-0.0424
07/23/2000,0.86,0.94,0.95,0.84,1370000000,0.0219,1419.89,-0.0407,772.80,-0.0819
07/30/2000,0.85,0.88,0.92,0.79,1060000000,0.0001,1462.93,0.0303,790.10,0.0223
08/06/2000,0.85,0.85,0.88,0.81,1230000000,0.0315,1471.84,0.0061,799.60,0.0121
08/13/2000,0.89,0.85,0.94,0.83,875610000,0.0015,1491.72,0.0135,842.20,0.0533
08/20/2000,1.01,0.9,1.03,0.89,1290000000,0.0150,1506.45,0.0099,857.90,0.0186
08/27/2000,1.13,1.02,1.14,1.02,1590000000,-0.0058,1520.77,0.0095,882.20,0.0283
09/03/2000,1.05,1.12,1.15,1.03,1070000000,0.0229,1494.50,-0.0173,825.00,-0.0649
09/10/2000,0.99,1.05,1.08,0.97,1500000000,0.0282,1465.81,-0.0192,787.80,-0.0451
09/17/2000,0.93,0.99,1.1,0.89,2160000000,-0.0012,1448.72,-0.0117,769.30,-0.0235
09/24/2000,0.46,0.94,0.99,0.45,9530000000,0.0033,1436.51,-0.0084,715.80,-0.0695
10/01/2000,0.4,0.48,0.48,0.37,7420000000,-0.0015,1408.99,-0.0192,685.60,-0.0421
10/08/2000,0.39,0.4,0.41,0.34,4930000000,0.0290,1374.17,-0.0247,675.80,-0.0143
10/15/2000,0.35,0.4,0.42,0.33,4550000000,0.0339,1396.93,0.0166,707.70,0.0472
10/22/2000,0.33,0.36,0.37,0.31,3490000000,0.0438,1379.58,-0.0124,653.00,-0.0772
10/29/2000,0.4,0.34,0.41,0.33,3210000000,-0.0168,1426.69,0.0341,688.60,0.0544
11/05/2000,0.34,0.4,0.4,0.34,2020000000,0.0294,1365.98,-0.0426,597.30,-0.1326
11/12/2000,0.33,0.33,0.37,0.33,1810000000,-0.0383,1367.72,0.0013,616.10,0.0316
11/19/2000,0.34,0.33,0.35,0.33,1150000000,0.0102,1341.77,-0.0190,602.30,-0.0225
11/26/2000,0.3,0.35,0.36,0.29,2220000000,-0.0226,1315.23,-0.0198,539.90,-0.1036
12/03/2000,0.27,0.31,0.31,0.25,3200000000,0.0587,1369.89,0.0416,586.30,0.0859
12/10/2000,0.25,0.27,0.29,0.25,1840000000,0.0585,1312.15,-0.0421,531.10,-0.0941
12/17/2000,0.27,0.26,0.27,0.24,1950000000,0.0231,1305.95,-0.0047,501.30,-0.0562
